player,best_etv_match,cosine_similarity,Player Name,ETV
aaron ramsdale,aaron ramsdale,1.0,Aaron Ramsdale,€18.7M
aaron wan-bissaka,aaron wan-bissaka,1.0,Aaron Wan-Bissaka,€26.9M
abdoulaye doucouré,abdoulaye doucouré,1.0000002,Abdoulaye Doucouré,€5.8M
adam armstrong,tyler adams,0.6439651,Adam Armstrong,€24.4M
adam smith,adam smith,1.0,Adam Smith,€1.5M
adam wharton,adam wharton,1.0000001,Adam Wharton,€48.9M
adama traoré,adama traoré,1.0,Adama Traoré,€8M
alejandro garnacho,alejandro garnacho,1.0,Alejandro Garnacho,€60.7M
alex iwobi,alex iwobi,0.9999999,Alex Iwobi,€30.3M
alex palmer,alex palmer,1.0000001,Alex Palmer,€1.6M
alexander isak,alexander isak,0.9999999,Alexander Isak,€120.3M
alexis mac allister,alexis mac allister,1.0000002,Alexis Mac Allister,€106.1M
alisson,alisson,0.99999994,Alisson,€24.1M
alphonse areola,alphonse aréola,0.9999999,Alphonse Areola,€11.8M
amad diallo,amad diallo,1.0000001,Amad Diallo,€48.5M
amadou onana,amadou onana,1.0,Amadou Onana,€62.1M
andreas pereira,andreas pereira,1.0000001,Andreas Pereira,€19M
andrew robertson,andrew robertson,0.99999994,Andrew Robertson,€24M
andré,andré,1.0,André,€29.8M
andré onana,andré onana,0.99999994,André Onana,€34.2M
anthony elanga,anthony elanga,1.0000001,Anthony Elanga,€45.5M
anthony gordon,anthony gordon,0.9999998,Anthony Gordon,€49.5M
antoine semenyo,antoine semenyo,0.9999999,Antoine Semenyo,€47.7M
antonee robinson,antonee robinson,1.0000002,Antonee Robinson,€46.4M
archie gray,archie gray,1.0,Archie Gray,€58.2M
arijanet muric,arijanet murić,0.99999994,Arijanet Muric,€10.1M
ashley young,ashley young,1.0000001,Ashley Young,€1.3M
axel tuanzebe,axel tuanzebe,1.0000001,Axel Tuanzebe,€4.2M
bart verbruggen,bart verbruggen,0.99999976,Bart Verbruggen,€30.7M
ben davies,ben davies,1.0000001,Ben Davies,€5.6M
ben johnson,ben johnson,1.0,Ben Johnson,€12.6M
ben white,ben white,1.0,Ben White,€58.8M
bernardo silva,bernardo silva,1.0000001,Bernardo Silva,€50M
bernd leno,bernd leno,1.0000001,Bernd Leno,€13.7M
beto,beto,0.9999999,Beto,€24.4M
bilal el khannouss,bilal el khannouss,1.0000001,Bilal El Khannouss,€40.6M
boubacar kamara,boubacar kamara,1.0,Boubacar Kamara,€46.3M
boubakary soumaré,boubakary soumaré,1.0000001,Boubakary Soumaré,€15.4M
brennan johnson,brennan johnson,1.0000002,Brennan Johnson,€71.3M
bruno fernandes,bruno fernandes,1.0000002,Bruno Fernandes,€54.8M
bruno guimarães,bruno guimarães,1.0,Bruno Guimarães,€83.2M
bryan mbeumo,bryan mbeumo,0.99999994,Bryan Mbeumo,€57.2M
bukayo saka,bukayo saka,1.0,Bukayo Saka,€101.3M
caleb okoli,caleb okoli,1.0000002,Caleb Okoli,€16.7M
callum hudson-odoi,callum hudson-odoi,1.0000001,Callum Hudson-Odoi,€30.2M
calvin bassey,calvin bassey,1.0000002,Calvin Bassey,€29.9M
cameron archer,cameron archer,1.0,Cameron Archer,€18.6M
cameron burgess,cameron burgess,1.0000001,Cameron Burgess,€1.7M
carlos baleba,carlos baleba,0.9999999,Carlos Baleba,€52.4M
carlos soler,carlos soler,1.0000001,Carlos Soler,€23.4M
casemiro,casemiro,1.0000001,Casemiro,€11.6M
chris richards,chris richards,1.0,Chris Richards,€15.7M
chris wood,chris wood,1.0,Chris Wood,€7.8M
christian eriksen,christian eriksen,1.0000001,Christian Eriksen,€4.2M
christian nørgaard,christian nørgaard,1.0000002,Christian Nørgaard,€14.4M
christopher nkunku,christopher nkunku,1.0000002,Christopher Nkunku,€51.7M
cody gakpo,cody gakpo,1.0000001,Cody Gakpo,€67.5M
cole palmer,cole palmer,1.0000002,Cole Palmer,€115.4M
conor coady,conor coady,0.9999999,Conor Coady,€2.2M
craig dawson,craig dawson,0.9999999,Craig Dawson,€1.5M
cristian romero,cristian romero,1.0,Cristian Romero,€60.1M
curtis jones,curtis jones,0.9999999,Curtis Jones,€61.7M
daichi kamada,daichi kamada,1.0000002,Daichi Kamada,€14.6M
dan burn,dan burn,1.0000002,Dan Burn,€9.1M
dango ouattara,dango ouattara,1.0,Dango Ouattara,€28.5M
daniel muñoz,daniel muñoz,1.0000001,Daniel Muñoz,€30.9M
danny welbeck,danny welbeck,1.0000001,Danny Welbeck,€6M
dara o'shea,dara o'shea,0.9999999,Dara O'Shea,€19.5M
darwin núñez,darwin núñez,1.0,Darwin Núñez,€60.9M
david raya,david raya,1.0,David Raya,€28.9M
dean henderson,dean henderson,1.0,Dean Henderson,€22.7M
dean huijsen,dean huijsen,1.0,Dean Huijsen,€55M
declan rice,declan rice,1.0000002,Declan Rice,€107.8M
dejan kulusevski,dejan kulusevski,1.0,Dejan Kulusevski,€60.5M
destiny udogie,destiny udogie,1.0000002,Destiny Udogie,€59.4M
diogo dalot,diogo dalot,1.0,Diogo Dalot,€37.4M
diogo jota,diogo jota,1.0000002,Diogo Jota,€58.6M
djed spence,djed spence,1.0,Djed Spence,€19.8M
dominic calvert-lewin,dominic calvert-lewin,1.0000001,Dominic Calvert-Lewin,€17.8M
dominic solanke,dominic solanke,1.0000001,Dominic Solanke,€52.1M
dominik szoboszlai,dominik szoboszlai,1.0,Dominik Szoboszlai,€71.4M
dwight mcneil,dwight mcneil,1.0000001,Dwight McNeil,€27M
eberechi eze,eberechi eze,1.0,Eberechi Eze,€62.2M
ederson,ederson,1.0000001,Ederson,€19.1M
edson álvarez,edson álvarez,1.0000001,Edson Álvarez,€36.5M
elliot anderson,elliot anderson,1.0,Elliot Anderson,€46.5M
emerson palmieri,emerson palmieri,0.99999994,Emerson Palmieri,€12.6M
emile smith rowe,emile smith rowe,1.0,Emile Smith Rowe,€40.8M
emiliano martínez,emiliano martínez,1.0,Emiliano Martínez,€17.5M
emmanuel agbadou,emmanuel agbadou,1.0,Emmanuel Agbadou,€18M
enzo fernández,enzo fernández,1.0000001,Enzo Fernández,€73.7M
erling haaland,erling haaland,1.0000001,Erling Haaland,€198.8M
ethan pinnock,ethan pinnock,1.0,Ethan Pinnock,€7.6M
evanilson,evanilson,1.0,Evanilson,€26.9M
ezri konsa,ezri konsa,0.99999976,Ezri Konsa,€42.7M
fabian schär,fabian schär,1.0000002,Fabian Schär,€11M
facundo buonanotte,facundo buonanotte,1.0000001,Facundo Buonanotte,€30.7M
flynn downes,flynn downes,1.0,Flynn Downes,€9.2M
gabriel magalhães,gabriel magalhães,1.0000001,Gabriel Magalhães,€75.5M
gabriel martinelli,gabriel martinelli,1.0000001,Gabriel Martinelli,€62.6M
georginio rutter,georginio rutter,0.99999994,Georginio Rutter,€41.3M
guglielmo vicario,guglielmo vicario,1.0000001,Guglielmo Vicario,€41.6M
guido rodríguez,guido rodríguez,0.9999999,Guido Rodríguez,€13.6M
harry maguire,harry maguire,1.0,Harry Maguire,€13.7M
harry wilson,harry wilson,0.99999994,Harry Wilson,€14.5M
harry winks,harry winks,1.0000002,Harry Winks,€11.4M
harvey barnes,harvey barnes,1.0000002,Harvey Barnes,€41.5M
ian maatsen,ian maatsen,1.0000001,Ian Maatsen,€40.6M
ibrahima konaté,ibrahima konaté,1.0000002,Ibrahima Konaté,€57.2M
idrissa gana gueye,idrissa gueye,0.89588743,Idrissa Gana Gueye,€5M
igor,igor júlio,0.7743232,Igor,€25M
iliman ndiaye,iliman ndiaye,1.0000002,Iliman Ndiaye,€25.7M
illia zabarnyi,illia zabarnyi,1.0,Illia Zabarnyi,€58.8M
ismaila sarr,ismaïla sarr,1.0,Ismaila Sarr,€25.7M
issa diop,issa diop,1.0,Issa Diop,€17.9M
i̇lkay gündoğan,i̇lkay gündoğan,1.0000001,İlkay Gündoğan,€12.1M
jack clarke,jack clarke,0.9999998,Jack Clarke,€19.4M
jack harrison,jack harrison,1.0000002,Jack Harrison,€17.7M
jack hinshelwood,jack hinshelwood,1.0000001,Jack Hinshelwood,€9.2M
jack stephens,jack stephens,1.0,Jack Stephens,€1.4M
jacob greaves,jacob greaves,0.9999999,Jacob Greaves,€25.1M
jacob murphy,jacob murphy,1.0000002,Jacob Murphy,€17.9M
jacob ramsey,jacob ramsey,0.99999976,Jacob Ramsey,€45.8M
jadon sancho,jadon sancho,0.9999999,Jadon Sancho,€37.7M
jake o'brien,jake o'brien,1.0,Jake O'Brien,€19.7M
james garner,james garner,1.0000001,James Garner,€23.2M
james justin,james justin,1.0,James Justin,€17M
james maddison,james maddison,1.0,James Maddison,€58.1M
james tarkowski,james tarkowski,1.0,James Tarkowski,€11.8M
jamie vardy,jamie vardy,1.0,Jamie Vardy,€1M
jan bednarek,jan bednarek,1.0000004,Jan Bednarek,€12.9M
jan paul van hecke,jan paul van hecke,1.0,Jan Paul van Hecke,€42.4M
jannik vestergaard,jannik vestergaard,1.0000002,Jannik Vestergaard,€2M
jarrad branthwaite,jarrad branthwaite,1.0000001,Jarrad Branthwaite,€32.2M
jarrod bowen,jarrod bowen,1.0,Jarrod Bowen,€48.1M
jean-clair todibo,jean-clair todibo,1.0000001,Jean-Clair Todibo,€36M
jean-philippe mateta,jean-philippe mateta,1.0,Jean-Philippe Mateta,€31.7M
jean-ricner bellegarde,jean-ricner bellegarde,1.0000001,Jean-Ricner Bellegarde,€21.3M
jefferson lerma,jefferson lerma,1.0000001,Jefferson Lerma,€13.6M
jens cajuste,jens cajuste,1.0000001,Jens Cajuste,€15.5M
jeremy doku,jérémy doku,0.99999994,Jeremy Doku,€66.2M
jesper lindstrøm,jesper lindstrøm,1.0,Jesper Lindstrøm,€24.4M
joachim andersen,joachim andersen,1.0,Joachim Andersen,€31.4M
joe aribo,joe aribo,1.0000002,Joe Aribo,€6.9M
joe willock,joe willock,1.0000001,Joe Willock,€35.8M
joelinton,joelinton,1.0000001,Joelinton,€47.5M
john mcginn,john mcginn,1.0000004,John McGinn,€22.5M
jordan ayew,jordan ayew,1.0,Jordan Ayew,€4.2M
jordan pickford,jordan pickford,1.0,Jordan Pickford,€22.6M
joshua zirkzee,joshua zirkzee,0.99999994,Joshua Zirkzee,€43.7M
josé sá,josé sá,1.0000001,José Sá,€8.5M
joão gomes,joão gomes,1.0000001,João Gomes,€51.1M
joão pedro,joão pedro,1.0,João Pedro,€61.3M
joël veltman,joël veltman,1.0,Joël Veltman,€5.7M
joško gvardiol,joško gvardiol,0.99999976,Joško Gvardiol,€78.7M
jurriën timber,jurrien timber,1.0000001,Jurriën Timber,€65.5M
justin kluivert,justin kluivert,1.0,Justin Kluivert,€44.8M
jørgen strand larsen,jørgen strand larsen,1.0,Jørgen Strand Larsen,€30.8M
kai havertz,kai havertz,0.9999999,Kai Havertz,€70.5M
kalvin phillips,kalvin phillips,1.0,Kalvin Phillips,€17.2M
kamaldeen sulemana,kamaldeen sulemana,1.0,Kamaldeen Sulemana,€18.5M
kaoru mitoma,kaoru mitoma,1.0000001,Kaoru Mitoma,€50.6M
keane lewis-potter,keane lewis-potter,1.0000001,Keane Lewis-Potter,€27.1M
kenny tete,kenny tete,1.0000001,Kenny Tete,€14M
kepa arrizabalaga,kepa arrizabalaga,0.9999999,Kepa Arrizabalaga,€12M
kevin de bruyne,kevin de bruyne,1.0000001,Kevin De Bruyne,€20.1M
kevin schade,kevin schade,1.0,Kevin Schade,€29.7M
kieran trippier,kieran trippier,1.0000001,Kieran Trippier,€5.1M
kobbie mainoo,kobbie mainoo,1.0,Kobbie Mainoo,€66M
konstantinos mavropanos,konstantinos mavropanos,1.0,Konstantinos Mavropanos,€19.1M
kristoffer ajer,kristoffer ajer,0.9999999,Kristoffer Ajer,€21.5M
kyle walker,kyle walker-peters,0.8194247,Kyle Walker,€16.6M
kyle walker-peters,kyle walker-peters,1.0000001,Kyle Walker-Peters,€16.6M
leandro trossard,leandro trossard,1.0,Leandro Trossard,€31.8M
leif davis,leif davis,1.0,Leif Davis,€28.2M
leny yoro,leny yoro,1.0,Leny Yoro,€71M
leon bailey,leon bailey,1.0,Leon Bailey,€39.2M
lesley ugochukwu,lesley ugochukwu,1.0000001,Lesley Ugochukwu,€27M
levi colwill,levi colwill,1.0,Levi Colwill,€56.6M
lewis cook,lewis cook,1.0000002,Lewis Cook,€19.3M
lewis dunk,lewis dunk,1.0,Lewis Dunk,€7.4M
lewis hall,lewis hall,0.9999998,Lewis Hall,€34.5M
liam delap,liam delap,1.0000001,Liam Delap,€37M
lisandro martínez,lisandro martínez,1.0000001,Lisandro Martínez,€49.2M
lucas bergvall,lucas bergvall,0.99999976,Lucas Bergvall,€32.6M
lucas digne,lucas digne,1.0000002,Lucas Digne,€13.6M
lucas paquetá,lucas paquetá,1.0,Lucas Paquetá,€71.2M
luis díaz,luis díaz,1.0000001,Luis Díaz,€71M
luke woolfenden,luke woolfenden,1.0000002,Luke Woolfenden,€2M
mads hermansen,mads hermansen,0.99999976,Mads Hermansen,€19.8M
mads roerslev,mads hermansen,0.6490226,Mads Roerslev,€19.8M
malo gusto,malo gusto,1.0,Malo Gusto,€32.8M
manuel akanji,manuel akanji,1.0000001,Manuel Akanji,€42.8M
manuel ugarte ribeiro,manuel ugarte,0.81813234,Manuel Ugarte Ribeiro,€60.4M
marc cucurella,marc cucurella,1.0000001,Marc Cucurella,€39.4M
marc guéhi,marc guéhi,1.0000001,Marc Guéhi,€54.2M
marcos senesi,marcos senesi,1.0,Marcos Senesi,€20.4M
marcus rashford,marcus rashford,1.0000001,Marcus Rashford,€53.6M
marcus tavernier,marcus tavernier,1.0000002,Marcus Tavernier,€24.4M
mario lemina,jorginho,0.48732835,Mario Lemina,€5.3M
mark flekken,mark flekken,1.0000002,Mark Flekken,€13.6M
martin ødegaard,martin ødegaard,1.0000001,Martin Ødegaard,€126.5M
mateo kovačić,mateo kovačić,1.0,Mateo Kovačić,€25.3M
mateus fernandes,mateus fernandes,0.9999999,Mateus Fernandes,€22.5M
matheus cunha,matheus cunha,1.0,Matheus Cunha,€62.6M
matheus nunes,matheus nunes,1.0000001,Matheus Nunes,€42.3M
matt doherty,matt doherty,0.99999994,Matt Doherty,€4.2M
matthijs de ligt,matthijs de ligt,1.0000002,Matthijs de Ligt,€52.2M
matty cash,matty cash,1.0,Matty Cash,€32.9M
matz sels,matz sels,0.9999999,Matz Sels,€9.1M
max kilman,max kilman,1.0000001,Max Kilman,€36.7M
maxence lacroix,maxence lacroix,1.0,Maxence Lacroix,€27.7M
micky van de ven,micky van de ven,1.0,Micky van de Ven,€61.8M
mikel merino,mikel merino,1.0000002,Mikel Merino,€40.5M
mikkel damsgaard,mikkel damsgaard,1.0000001,Mikkel Damsgaard,€28.6M
milos kerkez,miloš kerkez,0.9999999,Milos Kerkez,€61.5M
mohamed salah,mohamed salah,1.0,Mohamed Salah,€38.5M
mohammed kudus,mohammed kudus,1.0,Mohammed Kudus,€61.7M
moisés caicedo,moisés caicedo,1.0000001,Moisés Caicedo,€80.7M
morgan gibbs-white,morgan gibbs-white,0.99999994,Morgan Gibbs-White,€61.7M
morgan rogers,morgan rogers,1.0,Morgan Rogers,€69M
murillo,murillo,1.0000002,Murillo,€68.4M
myles lewis-skelly,myles lewis-skelly,1.0000001,Myles Lewis-Skelly,€34.9M
nathan collins,nathan collins,1.0,Nathan Collins,€33.3M
neco williams,neco williams,1.0000001,Neco Williams,€23.4M
nick pope,nick pope,1.0,Nick Pope,€11.7M
nicolas jackson,nicolas jackson,1.0,Nicolas Jackson,€66.2M
nicolás domínguez,nicolás domínguez,1.0000001,Nicolás Domínguez,€18.8M
nikola milenković,nikola milenković,1.0000004,Nikola Milenković,€38M
noni madueke,noni madueke,1.0,Noni Madueke,€51.6M
noussair mazraoui,noussair mazraoui,1.0000002,Noussair Mazraoui,€43M
nélson semedo,nélson semedo,1.0,Nélson Semedo,€8.4M
ola aina,ola aina,1.0000004,Ola Aina,€18.8M
oliver skipp,oliver skipp,1.0000004,Oliver Skipp,€17M
ollie watkins,ollie watkins,1.0000002,Ollie Watkins,€61.4M
omar marmoush,omar marmoush,1.0,Omar Marmoush,€79.1M
omari hutchinson,omari kellyman,0.67887884,Omari Hutchinson,€1.4M
orel mangala,orel mangala,1.0000001,Orel Mangala,€24.4M
pape matar sarr,pape matar sarr,1.0,Pape Matar Sarr,€50.8M
pau torres,pau torres,1.0000001,Pau Torres,€45.3M
paul onuachu,paul onuachu,1.0000001,Paul Onuachu,€12.7M
pedro neto,pedro neto,1.0000002,Pedro Neto,€60.6M
pedro porro,pedro porro,1.0,Pedro Porro,€55.9M
pervis estupiñán,pervis estupiñán,1.0000004,Pervis Estupiñán,€37.1M
phil foden,phil foden,1.0000001,Phil Foden,€105.7M
radu drăgușin,radu drăguşin,1.0000001,Radu Drăgușin,€28.4M
rasmus højlund,rasmus winther højlund,0.9060161,Rasmus Højlund,€54.9M
rayan aït-nouri,rayan aït nouri,0.96325654,Rayan Aït-Nouri,€45M
raúl jiménez,raúl jiménez,1.0000001,Raúl Jiménez,€5.1M
riccardo calafiori,riccardo calafiori,1.0000001,Riccardo Calafiori,€49.3M
rico lewis,rico lewis,1.0,Rico Lewis,€62.7M
robert sánchez,robert sánchez,1.0000001,Robert Sánchez,€24.9M
rodrigo bentancur,rodrigo bentancur,1.0000001,Rodrigo Bentancur,€31.5M
rodrigo muniz,rodrigo muniz,1.0000001,Rodrigo Muniz,€8.2M
ryan christie,ryan christie,0.99999994,Ryan Christie,€16.2M
ryan gravenberch,ryan gravenberch,1.0000001,Ryan Gravenberch,€85.3M
ryan manning,ryan manning,1.0000001,Ryan Manning,€3.9M
ryan yates,ryan yates,1.0,Ryan Yates,€18.3M
rúben dias,rúben dias,1.0000001,Rúben Dias,€58.5M
sam morsy,sam morsy,1.0,Sam Morsy,€1.3M
sammie szmodics,sammie szmodics,1.0,Sammie Szmodics,€14.1M
sander berge,sander berge,0.9999999,Sander Berge,€27.8M
sandro tonali,sandro tonali,1.0,Sandro Tonali,€52.9M
santiago bueno,santiago bueno,1.0000002,Santiago Bueno,€11.2M
saša lukić,saša lukić,1.0,Saša Lukić,€12.1M
sepp van den berg,sepp van den berg,1.0,Sepp van den Berg,€26.4M
simon adingra,simon adingra,1.0000002,Simon Adingra,€34M
son heung-min,heung-min son,0.9788718,Son Heung-min,€30.7M
stefan ortega,stefan ortega,1.0000002,Stefan Ortega,€5.8M
stephy mavididi,stephy mavididi,1.0,Stephy Mavididi,€12.9M
sávio,sávio,1.0000001,Sávio,€74.8M
taylor harwood-bellis,taylor harwood-bellis,1.0,Taylor Harwood-Bellis,€29.9M
thomas partey,thomas partey,1.0,Thomas Partey,€15.2M
timothy castagne,timothy castagne,0.99999994,Timothy Castagne,€17.4M
tomáš souček,tomáš souček,1.0,Tomáš Souček,€23.2M
tosin adarabioyo,tosin adarabioyo,1.0000001,Tosin Adarabioyo,€24.3M
toti gomes,toti gomes,1.0000001,Toti Gomes,€18.6M
trent alexander-arnold,trent alexander-arnold,1.0,Trent Alexander-Arnold,€55.8M
trevoh chalobah,trevoh chalobah,0.9999999,Trevoh Chalobah,€20.1M
tyler adams,tyler adams,1.0,Tyler Adams,€24.4M
tyler dibling,tyler dibling,1.0,Tyler Dibling,€32.7M
tyrick mitchell,tyrick mitchell,0.99999994,Tyrick Mitchell,€24.6M
tyrone mings,tyrone mings,1.0,Tyrone Mings,€5.8M
valentino livramento,valentino livramento,1.0,Valentino Livramento,€49.3M
victor bernth kristiansen,victor kristiansen,0.89741075,Victor Bernth Kristiansen,€23.9M
virgil van dijk,virgil van dijk,1.0000001,Virgil van Dijk,€24.3M
vitaliy mykolenko,vitaliy mykolenko,1.0,Vitaliy Mykolenko,€33.5M
vitaly janelt,vitaly janelt,1.0000001,Vitaly Janelt,€27.1M
wes burns,wes burns,1.0000002,Wes Burns,€2.1M
wesley fofana,wesley fofana,1.0,Wesley Fofana,€30.3M
wilfred ndidi,wilfred ndidi,0.9999999,Wilfred Ndidi,€20.3M
will hughes,will hughes,0.9999999,Will Hughes,€11.1M
william saliba,william saliba,1.0,William Saliba,€79.5M
wout faes,wout faes,1.0000001,Wout Faes,€25M
yankuba minteh,yankuba minteh,0.9999999,Yankuba Minteh,€42.6M
yasin ayari,yasin ayari,1.0,Yasin Ayari,€21.4M
yehor yarmoliuk,yehor yarmoliuk,1.0000001,Yehor Yarmoliuk,€18M
yoane wissa,yoane wissa,1.0,Yoane Wissa,€31.4M
youri tielemans,youri tielemans,1.0000001,Youri Tielemans,€41.5M
yukinari sugawara,yukinari sugawara,1.0,Yukinari Sugawara,€15.7M
yves bissouma,yves bissouma,1.0000002,Yves Bissouma,€29.8M
álex moreno,álex moreno,1.0000001,Álex Moreno,€11M
łukasz fabiański,łukasz fabiański,1.0000001,Łukasz Fabiański,€0.9M
