Teams_or_players,Median_Req_Age,Mean_Req_Age,Std_Req_Age,Median_Pltime_matches_played,Mean_Pltime_matches_played,Std_Pltime_matches_played,Median_Pltime_starts,Mean_Pltime_starts,Std_Pltime_starts,Median_Pltime_minutes,Mean_Pltime_minutes,Std_Pltime_minutes,Median_Defen_Blocks,Mean_Defen_Blocks,Std_Defen_Blocks,Median_Defen_Int,Mean_Defen_Int,Std_Defen_Int,Median_Defen_Pass,Mean_Defen_Pass,Std_Defen_Pass,Median_Defen_Sh,Mean_Defen_Sh,Std_Defen_Sh,Median_Defen_Tkl,Mean_Defen_Tkl,Std_Defen_Tkl,Median_Defen_TklW,Mean_Defen_TklW,Std_Defen_TklW,Median_Exp_xAG,Mean_Exp_xAG,Std_Exp_xAG,Median_Exp_xG,Mean_Exp_xG,Std_Exp_xG,Median_GK_CSPct,Mean_GK_CSPct,Std_GK_CSPct,Median_GK_GA90,Mean_GK_GA90,Std_GK_GA90,Median_GK_PK_SavePct,Mean_GK_PK_SavePct,Std_GK_PK_SavePct,Median_GK_SavePct,Mean_GK_SavePct,Std_GK_SavePct,Median_GnS_GCA,Mean_GnS_GCA,Std_GnS_GCA,Median_GnS_GCA90,Mean_GnS_GCA90,Std_GnS_GCA90,Median_GnS_SCA,Mean_GnS_SCA,Std_GnS_SCA,Median_GnS_SCA90,Mean_GnS_SCA90,Std_GnS_SCA90,Median_Misc_Crs,Mean_Misc_Crs,Std_Misc_Crs,Median_Misc_Fld,Mean_Misc_Fld,Std_Misc_Fld,Median_Misc_Fls,Mean_Misc_Fls,Std_Misc_Fls,Median_Misc_Lost,Mean_Misc_Lost,Std_Misc_Lost,Median_Misc_Off,Mean_Misc_Off,Std_Misc_Off,Median_Misc_Recov,Mean_Misc_Recov,Std_Misc_Recov,Median_Misc_Won,Mean_Misc_Won,Std_Misc_Won,Median_Misc_WonPct,Mean_Misc_WonPct,Std_Misc_WonPct,Median_Pass_1Per3,Mean_Pass_1Per3,Std_Pass_1Per3,Median_Pass_Cmp,Mean_Pass_Cmp,Std_Pass_Cmp,Median_Pass_CmpPct,Mean_Pass_CmpPct,Std_Pass_CmpPct,Median_Pass_CrsPA,Mean_Pass_CrsPA,Std_Pass_CrsPA,Median_Pass_KP,Mean_Pass_KP,Std_Pass_KP,Median_Pass_PPA,Mean_Pass_PPA,Std_Pass_PPA,Median_Pass_PrgP,Mean_Pass_PrgP,Std_Pass_PrgP,Median_Pass_TotDist,Mean_Pass_TotDist,Std_Pass_TotDist,Median_Pass_cpt_long,Mean_Pass_cpt_long,Std_Pass_cpt_long,Median_Pass_cpt_medium,Mean_Pass_cpt_medium,Std_Pass_cpt_medium,Median_Pass_cpt_short,Mean_Pass_cpt_short,Std_Pass_cpt_short,Median_Perf_assists,Mean_Perf_assists,Std_Perf_assists,Median_Perf_goals,Mean_Perf_goals,Std_Perf_goals,Median_Perf_red_cards,Mean_Perf_red_cards,Std_Perf_red_cards,Median_Perf_yellow_cards,Mean_Perf_yellow_cards,Std_Perf_yellow_cards,Median_Poss_1Per3,Mean_Poss_1Per3,Std_Poss_1Per3,Median_Poss_Att,Mean_Poss_Att,Std_Poss_Att,Median_Poss_Att_3rd,Mean_Poss_Att_3rd,Std_Poss_Att_3rd,Median_Poss_Att_Pen,Mean_Poss_Att_Pen,Std_Poss_Att_Pen,Median_Poss_CPA,Mean_Poss_CPA,Std_Poss_CPA,Median_Poss_Carries,Mean_Poss_Carries,Std_Poss_Carries,Median_Poss_Def_3rd,Mean_Poss_Def_3rd,Std_Poss_Def_3rd,Median_Poss_Def_Pen,Mean_Poss_Def_Pen,Std_Poss_Def_Pen,Median_Poss_Dis,Mean_Poss_Dis,Std_Poss_Dis,Median_Poss_Mid_3rd,Mean_Poss_Mid_3rd,Std_Poss_Mid_3rd,Median_Poss_Mis,Mean_Poss_Mis,Std_Poss_Mis,Median_Poss_PrgC,Mean_Poss_PrgC,Std_Poss_PrgC,Median_Poss_PrgDist,Mean_Poss_PrgDist,Std_Poss_PrgDist,Median_Poss_PrgR,Mean_Poss_PrgR,Std_Poss_PrgR,Median_Poss_Rec,Mean_Poss_Rec,Std_Poss_Rec,Median_Poss_SuccPct,Mean_Poss_SuccPct,Std_Poss_SuccPct,Median_Poss_TkldPct,Mean_Poss_TkldPct,Std_Poss_TkldPct,Median_Poss_touches,Mean_Poss_touches,Std_Poss_touches,Median_Prog_PrgC,Mean_Prog_PrgC,Std_Prog_PrgC,Median_Prog_PrgP,Mean_Prog_PrgP,Std_Prog_PrgP,Median_Prog_PrgR,Mean_Prog_PrgR,Std_Prog_PrgR,Median_Shoot_Dist,Mean_Shoot_Dist,Std_Shoot_Dist,Median_Shoot_GPerSh,Mean_Shoot_GPerSh,Std_Shoot_GPerSh,Median_Shoot_SoTPct,Mean_Shoot_SoTPct,Std_Shoot_SoTPct,Median_Shoot_SoTPer90,Mean_Shoot_SoTPer90,Std_Shoot_SoTPer90,Median_per90_Ast,Mean_per90_Ast,Std_per90_Ast,Median_per90_Gls,Mean_per90_Gls,Std_per90_Gls,Median_per90_xG,Mean_per90_xG,Std_per90_xG,Median_per90_xGA,Mean_per90_xGA,Std_per90_xGA
All,26.0,26.3988,4.2523,23.0,21.2227,9.976,14.0,15.5668,10.9572,1337.0,1395.8664,927.799,12.0,15.4656,13.8628,7.0,11.3239,11.8652,8.0,10.2368,9.4782,2.0,5.2287,7.3872,17.0,24.8968,22.8633,10.0,14.8866,14.0275,0.9,1.5162,1.8906,0.9,2.0492,3.1236,17.9,23.5275,22.3591,1.485,1.689,0.7402,0.0,17.8481,29.4016,68.15,66.3,9.7018,2.0,3.5223,4.2511,0.15,0.2128,0.2216,21.0,32.2854,32.5865,1.795,2.0718,1.4174,9.0,24.832,36.266,10.0,15.2045,14.9403,12.0,15.6802,13.9698,13.0,18.3563,18.7556,1.0,2.4069,4.0054,45.0,58.8704,46.9659,10.0,18.3887,21.6227,50.0,48.7372,21.5726,29.0,43.7389,45.4773,456.5,560.6964,465.5441,80.15,79.2366,8.2859,1.0,2.8097,4.3703,8.0,13.7996,15.5269,6.0,11.7571,14.5674,37.5,52.0891,50.5311,7306.0,9638.417,8432.2916,53.7,54.2528,15.7307,85.7,83.9761,10.129,89.9,88.7377,6.7826,1.0,1.5081,2.2199,1.0,2.0304,3.5487,0.0,0.0911,0.3084,2.0,2.996,2.6361,13.0,17.7632,18.4351,142.0,214.6296,212.2151,142.0,214.6296,212.2151,20.0,34.9919,41.5609,2.0,8.2227,14.4593,401.5,475.1053,363.578,159.0,280.6316,311.8542,31.0,95.6964,178.0917,8.0,13.334,14.9168,279.5,360.8866,319.7647,13.0,19.2571,19.7169,15.0,26.3968,31.0655,1039.5,1318.9717,1109.3856,25.0,51.4433,64.8221,483.5,554.9575,426.4061,45.0,46.5519,22.4404,43.8,42.3532,21.454,738.0,847.7895,631.1617,15.0,26.3968,31.0655,37.5,52.0891,50.5311,25.0,51.4433,64.8221,16.4,16.7441,5.0574,0.06,0.0788,0.1002,30.0,29.5482,19.8617,0.23,0.3986,0.4654,0.04,0.0895,0.1228,0.03,0.12,0.1823,0.07,0.133,0.1595,0.07,0.0967,0.1002
Arsenal,26.5,25.9545,3.8232,23.5,23.2727,8.0663,16.5,17.5,10.3957,1478.5,1564.4545,902.9765,10.0,13.6818,11.1671,6.0,9.6364,8.867,7.5,9.2727,7.8872,1.5,4.4091,6.8359,19.5,24.6364,20.7262,12.0,14.6818,12.6355,0.9,1.9318,2.1877,1.65,2.5636,2.641,34.3,34.3,,0.89,0.89,,0.0,0.0,,74.1,74.1,,3.0,5.0,5.5976,0.24,0.2923,0.2995,25.0,39.8636,34.143,2.24,2.45,1.4036,11.0,32.1818,42.6901,17.0,17.0455,12.4038,14.0,16.9545,11.2736,15.5,19.3636,17.6461,2.0,3.5455,3.6869,49.5,59.6818,41.3676,10.5,19.9091,19.7867,51.15,47.8273,19.0147,40.5,58.0909,52.9185,468.5,717.6818,560.3351,82.95,82.3227,6.2657,1.5,3.0,3.6253,10.0,17.5,17.7811,9.0,18.2727,18.4937,56.5,77.0,62.4431,7398.0,11757.9545,9938.8909,53.35,55.3182,9.7625,86.3,84.9545,7.8595,91.75,90.8864,4.6747,1.5,2.3182,2.7497,2.0,2.8182,2.8054,0.0,0.2273,0.5284,2.5,2.9091,1.9739,19.5,21.9545,18.3679,225.0,323.0909,237.024,225.0,323.0909,237.024,38.5,53.7727,50.3615,4.5,12.1364,15.459,427.0,593.2727,410.16,125.0,254.4545,337.0263,25.0,75.8182,170.0133,13.5,15.8636,13.5235,296.0,439.0,390.8871,15.5,20.1364,15.9442,23.0,35.3182,32.6969,1358.0,1677.6364,1143.7039,52.0,75.9545,77.4882,552.0,710.8636,492.2019,44.65,49.2682,22.4432,36.4,37.4045,18.0575,771.5,1008.9545,673.6841,23.0,35.3182,32.6969,56.5,77.0,62.4431,52.0,75.9545,77.4882,15.0,14.6429,4.9693,0.14,0.1371,0.1297,30.9,27.8619,16.6777,0.22,0.4091,0.4097,0.105,0.1373,0.15,0.105,0.1627,0.1641,0.1,0.1527,0.1417,0.09,0.1195,0.1171
Aston Villa,27.0,26.7143,4.0539,20.5,19.4286,10.3331,9.5,13.75,11.6607,1004.0,1235.3571,943.1826,10.0,10.8571,9.1519,5.0,8.0714,8.3796,5.5,7.25,6.3691,2.5,3.6071,4.3148,10.5,21.3929,20.5523,6.0,12.3214,12.5168,0.45,1.4321,2.0083,0.8,1.9536,2.9725,58.8,58.8,58.2656,1.68,1.68,0.4525,50.0,50.0,,61.15,61.15,7.8489,2.0,3.4286,3.8819,0.18,0.2311,0.2099,20.0,28.6429,29.9335,1.825,2.1086,1.3797,4.5,19.9643,34.2372,9.0,16.3929,17.8478,8.5,13.5357,13.5469,9.5,13.8571,13.9037,1.0,1.8214,2.8681,37.5,46.75,36.8959,8.0,12.4286,12.179,50.0,40.3704,23.9945,23.5,38.0,46.9105,402.5,491.0,427.6367,81.95,81.2429,7.1856,0.0,1.8571,3.699,6.5,12.1071,14.9377,7.5,10.5,12.6711,34.0,44.1786,48.1995,5738.0,8421.5714,7968.7455,53.9,54.4857,15.355,86.45,86.4393,7.7285,91.45,90.0714,5.5,0.0,1.5,2.396,1.0,1.8929,3.2924,0.0,0.0714,0.2623,2.0,2.4286,2.2514,12.5,14.75,13.111,117.5,176.9643,169.9923,117.5,176.9643,169.9923,20.5,31.5357,37.6027,2.0,7.1786,10.5832,397.0,408.2857,318.5089,133.0,242.9643,300.2408,30.0,86.9643,191.6212,8.0,12.8929,15.3172,244.0,308.7143,300.8221,9.0,16.7857,21.6408,16.5,23.7857,23.6602,1086.5,1180.8214,939.9881,21.0,43.75,51.9962,483.5,482.0357,387.3447,47.4,50.0556,24.8316,40.0,38.9037,22.868,655.0,721.4643,574.5981,16.5,23.7857,23.6602,34.0,44.1786,48.1995,21.0,43.75,51.9962,16.7,16.888,4.4888,0.06,0.0744,0.0799,27.8,29.024,21.7011,0.195,0.4643,0.6784,0.0,0.0854,0.1143,0.035,0.17,0.2806,0.08,0.1932,0.247,0.05,0.0907,0.1036
Bournemouth,26.0,25.9565,3.8195,26.0,22.2174,10.18,17.0,16.6957,11.6324,1670.0,1494.6087,1004.3941,16.0,18.8261,16.6942,10.0,14.3913,15.6227,8.0,13.087,12.6416,3.0,5.7391,7.2627,21.0,27.9565,23.4336,10.0,16.1304,14.508,1.1,1.8087,1.8742,1.1,2.6826,3.5772,20.0,15.0,13.2288,1.0,1.0833,0.1443,0.0,0.0,,80.0,80.0,4.6,2.0,3.9565,4.1939,0.21,0.2283,0.2069,28.0,40.7826,36.3455,2.35,2.5722,1.8681,10.0,32.9565,41.3725,10.0,15.6087,13.8949,16.0,20.5217,17.9845,22.0,24.6087,20.9799,0.0,2.7391,5.0742,59.0,73.2174,57.2538,20.0,23.1739,21.2959,47.0,50.1818,18.4001,37.0,48.2174,47.7255,436.0,504.7826,408.7612,74.3,73.9304,6.5757,2.0,4.0435,5.5307,11.0,17.7826,16.5583,7.0,13.2174,13.8694,43.0,58.4783,52.0523,7088.0,9147.9565,7897.3917,47.8,46.6609,17.8875,78.3,81.6217,10.8018,88.0,86.8435,7.0899,1.0,1.6957,2.0546,1.0,2.3478,3.588,0.0,0.087,0.2881,3.0,3.8696,3.0793,17.0,21.087,20.4271,133.0,239.7391,238.2043,133.0,239.7391,238.2043,19.0,39.5217,48.0822,1.0,9.087,16.0281,483.0,458.3478,342.4985,159.0,257.3043,280.4486,44.0,90.2609,153.4658,8.0,14.087,17.2229,316.0,365.9565,322.8818,18.0,23.5217,21.6057,19.0,29.8696,34.6532,1183.0,1442.087,1300.3993,31.0,57.6522,71.6117,435.0,499.6957,370.4773,41.15,43.23,19.2265,45.1,42.83,19.1706,783.0,852.4783,626.549,19.0,29.8696,34.6532,43.0,58.4783,52.0523,31.0,57.6522,71.6117,16.45,15.805,4.3759,0.065,0.06,0.0567,29.7,25.02,16.673,0.15,0.5383,0.6496,0.04,0.1004,0.1145,0.03,0.1352,0.1801,0.08,0.1809,0.2023,0.1,0.1283,0.1486
Brentford,24.0,25.6667,3.8644,28.0,23.5238,11.3825,21.0,18.3333,13.2979,1913.0,1638.0952,1122.0364,17.0,21.1905,19.307,8.0,12.7619,12.3,13.0,12.4762,10.3857,4.0,8.7143,12.9427,25.0,27.5238,22.2343,17.0,16.5238,12.8904,1.2,1.8952,2.231,0.8,2.6095,4.1968,58.8,58.8,58.2656,1.385,1.385,0.2051,0.0,0.0,,61.55,61.55,16.3342,2.0,5.0,5.8224,0.2,0.279,0.2717,21.0,34.0952,35.6888,1.72,1.8748,1.1583,14.0,29.5238,45.9855,10.0,15.0476,14.579,12.0,13.3333,10.8228,14.0,23.9524,23.9614,1.0,2.9524,4.4775,50.0,71.0,55.4509,12.0,27.5238,31.9212,55.5,54.8857,19.6098,42.0,48.0952,40.9193,489.0,582.2381,445.7851,77.3,76.6905,7.8443,2.0,3.9048,5.2717,9.0,14.5238,17.5374,7.0,14.0,18.7003,52.0,58.2857,54.4942,7626.0,10679.1429,9438.2282,55.0,54.8429,13.4926,79.9,82.2857,9.7314,87.7,86.7952,7.6693,2.0,1.9524,2.4388,0.0,2.9048,5.5399,0.0,0.0476,0.2182,2.0,2.5238,1.8873,11.0,15.9524,18.8162,160.0,230.0476,234.9209,160.0,230.0476,234.9209,24.0,43.0,47.1911,1.0,9.1905,17.5317,410.0,493.6667,361.5539,232.0,366.4762,421.0808,52.0,145.5714,290.9087,8.0,12.5714,13.5446,348.0,349.0476,279.6438,14.0,23.2857,26.4483,12.0,25.8571,32.3764,1204.0,1371.5714,1143.6433,27.0,57.5714,77.18,497.0,573.5238,410.8683,46.5,48.7632,19.8801,42.1,42.0947,16.4763,804.0,937.0476,669.6892,12.0,25.8571,32.3764,52.0,58.2857,54.4942,27.0,57.5714,77.18,15.3,15.9333,4.3117,0.05,0.0783,0.0867,34.8,30.8889,17.798,0.17,0.3152,0.3817,0.09,0.0986,0.1041,0.0,0.1157,0.1946,0.06,0.121,0.1608,0.08,0.1043,0.0894
Brighton & Hove Albion,24.0,25.5357,5.1817,21.0,19.5357,10.0351,10.0,13.75,10.1274,929.5,1233.8214,890.9927,12.0,14.4286,12.2578,8.5,10.3571,9.9451,9.5,10.4286,9.9496,2.0,4.0,5.4501,16.5,22.6429,19.7619,10.0,13.8214,12.0924,1.0,1.3214,1.3985,0.75,1.9107,2.6436,34.1,34.1,22.486,1.085,1.085,0.8273,0.0,0.0,,69.85,69.85,7.2832,3.0,3.5357,3.0121,0.285,0.2979,0.2752,24.0,29.9643,23.6385,2.81,2.47,1.2197,10.0,22.5357,27.8388,8.0,13.6786,14.5604,11.0,14.6071,12.4643,11.0,15.6786,14.8175,1.0,1.4643,1.8355,40.5,53.0714,44.2476,12.0,17.25,18.5425,53.8,50.0593,20.0934,23.0,38.6429,48.6326,343.0,517.2143,488.9753,80.55,79.3286,8.1566,1.0,2.8571,3.8173,9.5,11.8929,10.064,7.5,10.9286,10.509,40.0,49.7857,50.208,4862.0,8798.5714,9292.4584,52.55,54.0464,15.5936,82.1,81.2643,10.6223,90.3,89.5286,6.1106,1.0,1.3214,1.6114,1.0,1.9643,2.9998,0.0,0.1071,0.315,2.0,2.6786,2.5971,16.0,18.5714,18.6238,149.0,199.4643,179.511,149.0,199.4643,179.511,17.0,34.5714,42.0277,3.0,8.5,14.9951,377.0,455.5,391.5661,121.5,247.3929,328.1287,23.5,85.6786,197.2154,7.0,11.5,12.3663,229.0,337.5,329.7354,10.5,18.8929,19.1608,18.5,26.3571,30.0138,1092.0,1366.3929,1430.1863,27.0,49.4643,62.5936,417.0,511.25,430.07,43.8,45.5296,21.1955,46.2,46.4222,20.5027,644.5,775.75,627.3337,18.5,26.3571,30.0138,40.0,49.7857,50.208,27.0,49.4643,62.5936,16.5,17.4577,3.8229,0.055,0.0804,0.09,29.3,30.5654,21.9421,0.295,0.4482,0.6494,0.035,0.0918,0.1313,0.045,0.1207,0.1489,0.09,0.1286,0.1185,0.085,0.1025,0.0783
Chelsea,24.0,23.8077,2.3155,18.0,19.6923,11.2633,11.5,14.8077,11.7916,1046.5,1329.5,1029.0452,9.0,12.6538,13.8418,7.5,9.9231,11.4714,5.5,8.9231,10.0714,1.5,3.7308,5.6325,11.0,20.7308,23.884,8.5,13.0,14.7675,1.05,1.9654,2.4763,0.75,2.5654,4.2095,22.15,22.15,7.7075,1.3,1.3,0.2828,10.0,10.0,14.1421,73.85,73.85,3.4648,2.5,4.0769,4.7068,0.23,0.2535,0.2427,15.0,38.9615,47.7506,1.72,2.3165,1.6787,3.0,23.6923,40.5963,10.5,15.8846,16.9076,8.0,15.4615,16.1474,8.5,13.8462,14.6934,1.0,2.3462,4.6298,38.0,55.9231,51.3964,9.5,14.2692,16.576,42.1,46.872,26.2719,27.5,53.8846,58.5124,521.0,648.7308,587.2944,84.75,84.0577,6.441,0.0,2.7308,5.4886,6.5,16.8077,21.8504,4.0,12.8077,17.1161,34.5,57.5385,63.003,7782.0,11225.0,10550.4809,57.5,57.1538,17.9836,90.7,88.5423,7.3022,91.9,91.0654,5.6971,1.0,1.7308,2.2549,1.0,2.2692,3.6503,0.0,0.0385,0.1961,2.5,3.6923,3.1971,9.5,17.4231,19.2337,92.5,231.2692,258.9231,92.5,231.2692,258.9231,12.0,40.8462,52.0051,1.0,11.5769,21.6927,405.5,522.6154,421.2077,126.5,271.6154,334.7029,20.0,85.0,179.5597,5.5,10.7692,12.0542,267.5,407.0385,412.5582,6.0,16.3462,19.8876,11.0,31.1923,41.0989,1016.0,1491.1538,1199.7684,11.5,56.8077,76.2575,523.0,643.4231,538.6618,45.05,45.9917,20.5666,40.0,39.5958,22.1119,744.5,902.2308,767.0821,11.0,31.1923,41.0989,34.5,57.5385,63.003,11.5,56.8077,76.2575,15.0,15.0739,4.5562,0.07,0.0935,0.1185,33.3,29.8826,21.6803,0.275,0.4546,0.4854,0.065,0.1315,0.1842,0.05,0.1454,0.2047,0.08,0.1562,0.1783,0.095,0.1542,0.1703
Crystal Palace,27.0,26.6667,3.2609,30.0,24.0476,10.6324,19.0,18.2381,12.8721,1652.0,1633.0476,1082.8501,19.0,21.0476,18.018,11.0,14.2381,14.4841,13.0,14.9048,12.8915,3.0,6.1429,6.9086,21.0,33.1429,29.9354,14.0,19.619,18.8931,1.5,1.9143,2.1282,1.1,2.5524,3.4639,28.6,28.6,,1.37,1.37,,50.0,50.0,,67.1,67.1,,3.0,3.619,3.4275,0.15,0.1729,0.166,27.0,37.6667,35.4166,2.0,2.2067,1.503,11.0,26.9048,32.7428,19.0,17.9524,15.8666,12.0,18.0476,16.1971,19.0,28.1905,25.8624,1.0,3.1905,4.9155,64.0,72.9048,54.036,17.0,22.381,22.3662,43.6,41.1143,18.5062,27.0,38.7143,32.3112,541.0,519.1905,395.3221,75.6,74.081,6.9617,1.0,3.0476,4.3758,9.0,16.1429,16.2274,4.0,11.9524,12.7494,47.0,50.1429,39.5048,8735.0,9320.0476,7646.4615,46.7,49.9571,18.5866,81.1,79.8238,10.5317,84.5,84.2905,6.4619,1.0,1.5238,2.0885,0.0,1.9048,3.4045,0.0,0.1905,0.4024,2.0,3.619,3.3686,10.0,15.381,14.1155,146.0,197.0952,188.1252,146.0,197.0952,188.1252,18.0,34.4286,36.3064,1.0,5.2381,7.5094,430.0,444.7619,315.4619,181.0,330.5238,366.7375,30.0,110.6667,217.5197,13.0,14.6667,14.3713,377.0,369.2381,273.537,16.0,21.6667,21.0484,11.0,21.7143,22.7115,1004.0,1094.4762,800.9814,11.0,49.619,64.7592,533.0,514.4286,354.9626,40.0,41.88,23.6643,45.55,47.97,26.2736,871.0,888.3333,626.8676,11.0,21.7143,22.7115,47.0,50.1429,39.5048,11.0,49.619,64.7592,17.7,18.1238,5.7053,0.0,0.0595,0.0839,31.6,29.2381,17.7241,0.34,0.491,0.4643,0.03,0.0605,0.079,0.0,0.0852,0.1301,0.08,0.1414,0.1407,0.11,0.101,0.0741
Everton,26.0,27.5,5.0498,24.0,22.4091,9.2873,15.0,17.4545,10.6491,1357.5,1565.2273,904.2692,13.0,16.3636,14.3346,9.5,13.8636,13.0468,7.5,10.5,8.5843,3.0,5.8636,9.3874,26.0,30.8636,28.2359,14.5,18.0455,17.0614,1.05,1.3,1.108,1.1,1.7,2.019,28.6,28.6,,1.23,1.23,,100.0,100.0,,71.1,71.1,,2.0,2.5455,2.0869,0.11,0.18,0.1744,25.5,29.4091,19.353,1.76,1.8809,1.0815,8.5,28.7273,36.7231,14.0,15.6364,12.6021,15.0,18.3182,13.5695,15.0,23.5,23.6457,1.0,3.5,6.3076,56.0,63.4545,47.0428,11.5,25.4545,29.2879,50.6,48.35,19.1057,36.5,41.8636,34.9589,428.5,473.5,339.2598,74.15,74.5773,7.8982,2.0,3.8182,5.3598,9.5,12.3182,9.795,8.0,10.8636,10.2134,40.0,43.5,35.4008,7396.5,8940.7273,7796.0479,58.3,57.4727,14.9878,83.2,80.3,12.0458,86.45,85.3364,7.5168,1.0,1.0,1.1127,1.0,1.5,2.1325,0.0,0.0909,0.2942,3.0,3.4091,2.1747,11.5,15.2273,11.5426,180.5,200.7727,144.5867,180.5,200.7727,144.5867,19.0,30.0909,26.0346,2.0,5.0909,7.0973,377.5,396.3636,246.8149,170.0,288.7727,360.4805,31.0,101.5,217.8315,11.5,16.3182,14.2575,301.5,327.7273,235.5278,12.5,21.5909,20.3017,12.0,20.3182,20.5018,761.5,1053.9091,818.4768,24.0,42.5455,40.9433,439.5,468.8636,275.2871,47.2,46.8857,18.2873,45.0,45.3476,18.5516,746.5,808.6364,510.6739,12.0,20.3182,20.5018,40.0,43.5,35.4008,24.0,42.5455,40.9433,17.3,17.2714,5.3326,0.05,0.081,0.1057,35.7,32.5524,23.1568,0.235,0.3627,0.3804,0.035,0.0755,0.0991,0.04,0.0936,0.1308,0.05,0.1114,0.1233,0.055,0.0805,0.0696
